gender,ethnicity,fcollege,mcollege,home,urban,unemp,wage,distance,tuition,education,income,region
female,afam,no,no,yes,no,4.199999809265137,9.68000030517578,0.1000000014901161,1.0935300588607788,14,high,other
female,other,no,no,no,yes,4.300000190734863,10.029999732971191,0.5,0.5242499709129333,13,high,other
female,afam,no,no,yes,no,5.099999904632568,9.920000076293944,3.5,0.4549700021743774,14,low,other
female,other,yes,no,yes,no,3.900000095367432,8.890000343322754,1.2000000476837158,0.2575100064277649,12,low,west
male,other,no,no,yes,no,4.099999904632568,10.510000228881836,1.7000000476837158,0.8244799971580505,14,low,other
female,afam,no,yes,yes,yes,5.099999904632568,9.920000076293944,0.3000000119209289,0.4549700021743774,16,low,other
female,other,no,no,no,no,4.5,10.029999732971191,2.700000047683716,0.5242499709129333,12,low,other
female,other,no,no,yes,no,7.300000190734863,10.149999618530272,1.5,1.0161700248718262,12,low,other
male,afam,no,no,no,no,7.699999809265137,10.039999961853027,0.699999988079071,1.127020001411438,16,high,other
female,hispanic,no,no,yes,no,5.099999904632568,9.920000076293944,3.5,0.4549700021743774,13,low,other
female,other,no,no,yes,no,9.199999809265137,7.329999923706055,0.800000011920929,0.6558899879455566,14,low,other
female,hispanic,no,no,yes,no,6.800000190734863,8.890000343322754,1.5,0.2575100064277649,12,low,west
female,other,no,yes,yes,no,8.5,8.260000228881836,2.5999999046325684,0.6154699921607971,16,high,other
male,other,yes,no,yes,no,3.0,9.68000030517578,1.5,1.0935300588607788,13,high,other
male,other,yes,yes,yes,no,6.599999904632568,9.960000038146973,1.5,1.4041600227355957,12,low,other
male,hispanic,no,no,yes,yes,4.300000190734863,8.890000343322754,1.0,0.2575100064277649,15,high,west
male,hispanic,no,yes,yes,no,8.899999618530273,8.319999694824219,0.2000000029802322,0.4953800141811371,14,low,west
female,other,no,no,yes,no,11.600000381469728,11.619999885559082,0.5,1.248270034790039,14,low,other
male,other,yes,yes,yes,no,8.199999809265137,7.539999961853027,0.4000000059604645,0.8187100291252136,14,high,other
male,other,no,no,no,no,7.199999809265137,7.329999923706055,5.0,0.6558899879455566,12,low,other
female,other,no,no,yes,no,5.300000190734863,7.539999961853027,0.5,0.8187100291252136,14,low,other
male,other,no,no,yes,no,8.899999618530273,10.149999618530272,12.0,1.0161700248718262,16,low,other
male,hispanic,no,no,yes,yes,6.599999904632568,8.890000343322754,0.6000000238418579,0.2575100064277649,13,low,west
female,other,no,no,yes,no,4.099999904632568,11.079999923706056,4.0,0.8937600255012512,15,low,other
male,other,no,no,yes,no,10.699999809265137,9.640000343322754,0.5,1.1524200439453125,12,low,other
male,afam,no,no,yes,no,6.300000190734863,7.329999923706055,2.0,0.6558899879455566,12,low,other
female,other,no,no,no,no,7.699999809265137,11.619999885559082,2.0,1.248270034790039,12,low,other
female,other,no,no,yes,no,6.199999809265137,10.039999961853027,0.1000000014901161,1.127020001411438,12,high,other
male,other,yes,no,yes,no,14.0,12.149999618530272,1.0,1.1662800312042236,15,high,other
female,other,yes,yes,no,no,11.899999618530272,8.40999984741211,16.0,0.692840039730072,12,low,west
male,other,yes,no,yes,no,7.699999809265137,7.039999961853027,2.0,0.902999997138977,12,high,other
male,hispanic,no,no,yes,yes,7.199999809265137,11.619999885559082,0.4000000059604645,1.248270034790039,12,low,other
male,other,no,no,yes,no,6.5,7.329999923706055,3.5,0.6558899879455566,12,low,other
female,other,no,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,12,low,other
female,other,yes,no,yes,yes,6.599999904632568,8.890000343322754,0.1000000014901161,0.2575100064277649,15,low,west
female,afam,no,no,yes,no,8.100000381469727,9.920000076293944,3.0,0.4549700021743774,15,low,other
female,afam,no,no,yes,no,5.199999809265137,9.899999618530272,0.800000011920929,0.6732100248336792,14,low,other
male,hispanic,no,no,no,no,6.599999904632568,8.890000343322754,0.4000000059604645,0.2575100064277649,12,low,west
female,hispanic,no,no,yes,yes,7.699999809265137,9.960000038146973,0.2000000029802322,1.4041600227355957,12,low,other
male,other,no,no,yes,no,6.199999809265137,9.920000076293944,4.0,0.4549700021743774,12,low,other
female,other,yes,yes,yes,no,4.0,9.920000076293944,0.2000000029802322,0.4549700021743774,15,high,other
male,other,no,no,yes,yes,5.599999904632568,10.149999618530272,0.1000000014901161,1.0161700248718262,16,low,other
female,other,no,no,yes,no,10.399999618530272,10.8100004196167,2.299999952316284,1.1258699893951416,12,low,other
male,other,no,no,no,no,6.699999809265137,10.039999961853027,1.5,1.127020001411438,16,low,other
